round_id,round_name,category,table,entry_name,members,nationality,status,source,source_url,snapshot_date
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,40,Maciek Kumorek,Maciek Kumorek,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,41,Maya Drucker,Maya Drucker,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,42,McKenna Arnold,McKenna Arnold,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,43,Meagan McLafferty,Meagan McLafferty,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,44,Meredith Yeager,Meredith Yeager,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,45,Noelle Marshall,Noelle Marshall,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,46,Rachel Jordan,Rachel Jordan,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,47,Rachel Shields,Rachel Shields,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,48,Rachel Tate-Wong,Rachel Tate-Wong,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,49,Rebecca Streitz,Rebecca Streitz,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,50,Rhiannon Held,Rhiannon Held,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,51,Sara Edy,Sara Edy,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,52,Stephanie Tate-Wong,Stephanie Tate-Wong,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,53,Susan Soesbe,Susan Soesbe,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,54,Wendy Cranfill,Wendy Cranfill,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,55,Wendy Shieu,Wendy Shieu,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
solo_preliminary_3,Individual Preliminary 3 · Saturday 9:30am–11:30am,solo,56,Yael Kumorek,Yael Kumorek,,assigned,PJM schedule PDF backup,https://www.portlandjigsawmasters.org/s/Preliminary-3-Contestants.pdf,2026-08-10
